idUser;idRequestToAssociate;reference;job;idCategory1;idCategory2;idManagerialLevel;description;numberVacancies;idContractWorkType;idWorkingHours;idWorkMethod;salaryMin;salaryMax;hideSalary;cep;vacancyLocationType;companyHidden;alternativeDescription;youtubeVideoUrl;idStudy1Min;idExperienceRange;ageMin;ageMax;idSex;deficiencyRequired;deficiencyInformation;cidRequired;deficiencies;changeResidenceAvailabilityRequired;travelAvailabilityRequired;vehicleRequired;licenseRequired;idLicenseList;studies;languages;benefits;skills;tags;publish
23924;81782;81782;SUPERVISOR DE FACILITIES;83;429;2;;1;0;0;0;;;False;30110-022;1;False;;;0;;;;;False;;False;[];False;False;False;False;;;;;;[];False
23929;81785;81785;VIGILANTE;83;429;2;;1;0;0;0;;;False;14010-030;1;False;;;0;;;;;False;;False;[];False;False;False;False;;;;;;[];False
23926;81787;81787;VIGILANTE;83;429;2;;1;0;0;0;;;False;46730-000;1;False;;;0;;;;;False;;False;[];False;False;False;False;;;;;;[];False
23927;81788;81788;VIGILANTE;83;429;2;;1;0;0;0;;;False;84064-598;1;False;;;0;;;;;False;;False;[];False;False;False;False;;;;;;[];False
34412;81789;81789;VIGILANTE FERISTA;83;429;2;;1;0;0;0;;;False;32450-000;1;False;;;0;;;;;False;;False;[];False;False;False;False;;;;;;[];False
29140;81793;81793;VIGILANTE;83;429;2;;1;0;0;0;;;False;78888-000;1;False;;;0;;;;;False;;False;[];False;False;False;False;;;;;;[];False
23924;81794;81794;VIGILANTE PARCIAL;83;429;2;;1;0;0;0;;;False;35052-650;1;False;;;0;;;;;False;;False;[];False;False;False;False;;;;;;[];False
23926;81795;81795;VIGILANTE;83;429;2;;1;0;0;0;;;False;46730-000;1;False;;;0;;;;;False;;False;[];False;False;False;False;;;;;;[];False
23922;81796;81796;VIGILANTE;83;429;2;;1;0;0;0;;;False;78625-970;1;False;;;0;;;;;False;;False;[];False;False;False;False;;;;;;[];False
23926;81797;81797;VIGILANTE PARCIAL;83;429;2;;1;0;0;0;;;False;78550-000;1;False;;;0;;;;;False;;False;[];False;False;False;False;;;;;;[];False
