idRequest;idCompany;requestTitle;vacanciesCount;creationDate;closedDate;sentCandidatesCount;contractedCandidatesCount;idVacancyAssociated;approvedDate
81782;1588;SUPERVISOR DE FACILITIES;1;2022-10-07T16:22:17.5857764;;0;0; ;2022-10-07T16:24:10.5288752
81785;1588;VIGILANTE;1;2022-10-07T16:28:57.3864807;2022-11-30T17:45:31.0447085;0;0;235856 ;2022-10-07T16:29:39.1525388
81787;1588;VIGILANTE;1;2022-10-07T16:32:00.4334442;;0;0;235791 ;2022-10-07T16:32:00.6196512
81788;1588;VIGILANTE;1;2022-10-07T16:32:01.7139849;2022-10-26T17:33:52.1778028;0;0;235830 ;2022-10-07T16:32:01.9898502
81789;1588;VIGILANTE FERISTA;1;2022-10-07T16:32:18.4849474;;0;0;338931 ;2022-10-07T16:32:18.7559415
81793;1588;VIGILANTE;1;2022-10-07T16:36:03.6862512;2022-11-23T16:29:31.9234945;0;0;236078 ;2022-10-07T16:58:49.5321768
81794;1588;VIGILANTE PARCIAL;1;2022-10-07T16:37:41.9575772;2023-08-30T10:44:47.8442854;0;0;251749 ;2022-10-07T16:37:42.1339007
81795;1588;VIGILANTE;1;2022-10-07T16:38:25.3342419;;0;0;235852 ;2022-10-07T16:38:25.5473268
81796;1588;VIGILANTE;1;2022-10-07T16:38:58.2181387;;0;0;235755 ;2022-10-07T16:38:58.4941035
81797;1588;VIGILANTE PARCIAL;1;2022-10-07T16:39:20.7596332;;0;0;235876 ;2022-10-07T16:39:21.0112908
81799;1588;VIGILANTE;1;2022-10-07T16:42:41.4075136;2022-11-04T10:49:35.456693;0;0;235801 ;2022-10-07T16:59:13.4390668
81800;1588;VIGILANTE;1;2022-10-07T16:43:13.9179435;;0;0;235899 ;2022-10-07T16:43:14.2059588
81801;1588;VIGILANTE FERISTA;1;2022-10-07T16:44:33.7972302;;0;0; ;2022-10-07T16:44:34.0643995
81802;1588;VIGILANTE PARCIAL;1;2022-10-07T16:44:47.3311811;;0;0;338657 ;2022-10-07T17:03:26.8221551
81803;1588;VIGILANTE PARCIAL;1;2022-10-07T16:46:01.3639534;;0;0; ;2022-10-07T16:46:01.7141046
81806;1588;VIGILANTE;1;2022-10-07T16:49:10.5999885;2022-10-27T10:27:20.911652;0;0;235908 ;2022-10-07T16:50:27.8921354
81808;1588;VIGILANTE PARCIAL;1;2022-10-07T16:51:16.979501;2023-09-08T11:35:55.1507543;1;1;334636 ;2022-10-07T16:51:17.3626563
81809;1588;VIGILANTE FERISTA;1;2022-10-07T16:51:32.7551895;2023-02-15T16:45:27.0696918;1;1;312229 ;2022-10-07T16:51:33.1472974
81811;1588;VIGILANTE;1;2022-10-07T16:52:04.4501028;;0;0;235928 ;2022-10-07T16:52:04.7099536
81812;1588;VIGILANTE PARCIAL;1;2022-10-07T16:52:57.8369017;2022-11-14T08:45:28.8833244;0;0;236322 ;2022-10-07T16:52:58.4470254
81815;1588;VIGILANTE;1;2022-10-07T16:53:39.7050879;2023-01-18T16:43:37.1709439;1;1;235966 ;2022-10-07T16:53:40.0163992
81816;1588;VIGILANTE PARCIAL;1;2022-10-07T16:54:51.8181015;2022-11-09T11:45:19.9706565;0;0;235766 ;2022-10-07T16:54:52.2044807
81817;1588;VIGILANTE PARCIAL;1;2022-10-07T16:55:12.4675605;;0;0; ;2022-10-07T16:55:12.6972761
81818;1588;VIGILANTE FERISTA;1;2022-10-07T16:55:16.0566383;;0;0; ;2022-10-07T16:55:16.769494
81820;1588;VIGILANTE;1;2022-10-07T16:56:39.8969227;;0;0;235931 ;2022-10-07T16:56:40.1059849
81821;1588;PORTEIRO FERISTA;1;2022-10-07T16:57:09.376221;2023-01-23T11:25:40.5017416;1;1;235935 ;2022-10-07T16:57:09.6909845
81822;1588;VIGILANTE PARCIAL;1;2022-10-07T16:57:32.8854942;;0;0;235768 ;2022-10-07T16:57:33.3199874
81824;1588;VIGILANTE;1;2022-10-07T17:00:05.4778894;2022-11-05T15:36:03.4925544;0;0;235861 ;2022-10-07T17:00:06.1226977
81827;1588;VIGILANTE PARCIAL;1;2022-10-07T17:01:23.5659276;2022-11-05T15:31:50.9012201;0;0;235877 ;2022-10-07T17:01:23.8281384
81828;1588;VIGILANTE FERISTA;1;2022-10-07T17:02:12.3390781;;0;0; ;2022-10-07T17:02:12.533587
81831;1588;VIGILANTE INTERMITENTE;1;2022-10-07T17:02:59.551051;2023-02-24T10:45:14.268274;1;0;251956 ;2022-10-14T15:24:09.3312715
81832;1588;VIGILANTE;1;2022-10-07T17:03:30.9093493;;0;0;235939 ;2022-10-07T17:03:31.2574025
81833;1588;VIGILANTE FERISTA;1;2022-10-07T17:03:34.9809692;2023-08-30T10:32:42.7088691;0;0;256759 ;2022-10-07T17:03:35.3375638
81835;1588;PORTEIRO FERISTA;1;2022-10-07T17:04:35.7914408;2023-01-23T11:25:43.941824;1;1;263117 ;2022-10-07T17:04:36.0515828
81836;1588;VIGILANTE;1;2022-10-07T17:05:37.7626406;;0;0;235905 ;2022-10-07T17:05:38.0481224
81837;1588;VIGILANTE;1;2022-10-07T17:05:39.0903243;;0;0;235985 ;2022-10-07T17:05:39.3536922
81839;1588;VIGILANTE;1;2022-10-07T17:06:25.8488652;2022-11-05T15:41:51.930874;0;0;235942 ;2022-10-07T17:06:26.1351098
81841;1588;VIGILANTE;1;2022-10-07T17:08:23.0685739;;0;0;235958 ;2022-10-07T17:08:23.3068887
81842;1588;VIGILANTE;1;2022-10-07T17:08:33.4943952;2022-10-27T15:43:45.093197;0;0;235996 ;2022-10-07T17:08:33.8002476
81843;1588;VIGILANTE INTERMITENTE;1;2022-10-07T17:08:55.6003114;;0;0;251592 ;2022-10-14T14:53:33.1490578
81844;1588;VIGILANTE INTERMITENTE;1;2022-10-07T17:09:53.3407439;2023-08-24T09:07:58.3588676;0;0;240417 ;2022-10-14T15:23:35.8327675
81845;1588;VIGILANTE;1;2022-10-07T17:10:04.6104016;2022-10-18T10:31:09.2030221;0;0;235993 ;2022-10-07T17:10:04.7867474
81846;1588;VIGILANTE;1;2022-10-07T17:10:15.7270957;;0;0;235823 ;2022-10-07T17:10:15.9511543
81848;1588;VIGILANTE PARCIAL;1;2022-10-07T17:10:56.3846019;;0;0; ;2022-10-07T17:10:56.6337945
81849;1588;PORTEIRO;1;2022-10-07T17:11:57.119288;2023-01-12T11:08:49.2883478;0;0;235786 ;2022-10-07T17:11:57.4758363
81851;1588;CONTROLADOR DE ACESSO;1;2022-10-07T17:12:46.324533;2023-01-12T10:58:00.9308628;0;0;236156 ;2022-10-07T17:12:46.8929907
81852;1588;VIGILANTE PARCIAL;1;2022-10-07T17:12:47.1532508;;0;0; ;2022-10-07T17:12:47.6007225
81853;1588;VIGILANTE FERISTA;1;2022-10-07T17:13:08.1775884;;0;0;334666 ;2022-10-07T17:13:08.5845219
81854;1588;VIGILANTE;1;2022-10-07T17:13:34.614943;2022-11-04T10:49:44.5428194;0;0;235895 ;2022-10-07T17:13:34.8825416
81855;1588;VIGILANTE;1;2022-10-07T17:13:50.9179518;2022-10-20T09:24:27.2565907;0;0;236085 ;2022-10-07T17:13:51.1622991
81857;1588;VIGILANTE FERISTA;1;2022-10-07T17:15:59.5285998;;0;0;250638 ;2022-10-07T17:15:59.9703286
81858;1588;CONSULTOR DE NEGOCIOS;1;2022-10-07T17:16:21.0023255;;0;0;236810 ;2022-10-07T17:16:21.3275089
81859;1588;AUXILIAR DE LIMPEZA;1;2022-10-07T17:17:17.0562756;;0;0; ;2022-10-07T17:17:17.3283352
81860;1588;AUXILIAR DE LIMPEZA;1;2022-10-07T17:17:31.6450532;2022-11-24T13:11:20.2628291;0;0;237052 ;2022-10-07T17:17:31.946981
81861;1588;VIGILANTE FERISTA;1;2022-10-07T17:18:07.2739635;2023-02-15T12:31:09.3003009;1;0;308505 ;2022-10-07T17:18:07.7072807
81862;1588;VIGILANTE INTERMITENTE;1;2022-10-07T17:18:08.499726;2022-11-14T09:23:46.2851263;0;0;239713 ;2022-10-14T14:58:18.0517942
81863;1588;PORTEIRO;1;2022-10-07T17:18:22.7887932;;0;0; ;2022-10-07T17:18:23.1110106
81864;1588;VIGILANTE FERISTA;1;2022-10-07T17:18:36.0223607;2023-02-28T15:27:18.8678178;1;1;334755 ;2022-10-07T17:18:36.3787443
81865;1588;VIGILANTE FERISTA;1;2022-10-07T17:19:49.6852201;2023-07-06T15:30:28.1596177;0;0;238690 ;2022-10-07T17:19:50.7065316
81867;1588;VIGILANTE;1;2022-10-07T17:20:52.2068966;;0;0;236087 ;2022-10-07T17:20:52.379972
81868;1588;KEY ACCOUNT EXECUTIVE;1;2022-10-07T17:21:00.2908319;2022-10-26T17:22:22.3921047;0;0;236917 ;2022-10-07T17:21:00.647277
81870;1588;VIGILANTE INTERMITENTE;1;2022-10-07T17:21:14.2403806;;0;0;251957 ;2022-10-14T15:22:16.5870327
81871;1588;VIGILANTE PARCIAL;1;2022-10-07T17:21:31.9589894;2023-01-12T11:08:39.1502371;0;0;235800 ;2022-10-07T17:21:32.1552218
81872;1588;VIGILANTE PARCIAL;1;2022-10-07T17:21:50.5023119;2023-05-03T10:40:37.4258664;1;1;312723 ;2022-10-07T17:21:50.7793828
81873;1588;AUXILIAR DE SERVICOS GERAIS;1;2022-10-07T17:24:50.0044044;2022-11-17T11:54:26.7528109;0;0;237594 ;2022-10-07T17:24:50.2954149
81874;1588;AUXILIAR DE SERVICOS GERAIS;1;2022-10-07T17:25:13.2113942;2023-04-24T10:19:15.4695494;0;0;236017 ;2022-10-07T17:25:13.405443
81875;1588;VIGILANTE INTERMITENTE;1;2022-10-07T17:25:40.6495383;2023-08-24T08:50:09.0141762;0;0;273576 ;2022-10-14T15:00:01.9093513
81876;1588;GERENTE OPERACIONAL;1;2022-10-07T17:25:43.93949;;0;0; ;2022-10-07T17:25:44.3910497
81877;1588;VIGILANTE;1;2022-10-07T17:26:23.9028076;2022-11-01T08:18:24.7752886;0;0;236028 ;2022-10-07T17:26:24.1511153
81878;1588;VIGILANTE PARCIAL;1;2022-10-07T17:26:24.5500805;2023-02-24T10:44:47.8647528;1;0;308518 ;2022-10-07T17:26:24.8076737
81879;1588;VIGILANTE FERISTA;1;2022-10-07T17:27:03.2343245;2023-09-08T10:02:42.6781241;1;1;310573 ;2022-10-07T17:27:03.5521507
81880;1588;ALMOXARIFE;1;2022-10-07T17:27:08.3306092;;0;0;239801 ;2022-10-07T17:27:08.5950982
81882;1588;VIGILANTE PARCIAL;1;2022-10-07T17:28:35.5720781;2022-10-28T15:35:14.6046592;0;0;235804 ;2022-10-07T17:28:35.8860928
81884;1588;SUPERVISOR VIGILANCIA;1;2022-10-07T17:30:07.736172;;0;0;273316 ;2022-10-07T17:30:16.3991747
81886;1588;VIGILANTE;1;2022-10-07T17:30:36.2611099;2023-09-29T17:03:32.368616;0;0;236263 ;2022-10-07T17:30:36.5515865
81887;1588;VIGILANTE;1;2022-10-07T17:30:37.2572292;;0;0;237642 ;2022-10-07T17:30:37.5841668
81888;1588;VIGILANTE;1;2022-10-07T17:32:04.7450994;;0;0;235821 ;2022-10-07T17:32:05.0380406
81890;1588;PORTEIRO;1;2022-10-07T17:32:21.8225348;2022-10-26T17:34:34.5332166;0;0;236168 ;2022-10-07T17:32:22.1700363
81892;1588;VIGILANTE PARCIAL;1;2022-10-07T17:32:59.550156;;0;0;303416 ;2022-10-07T17:32:59.8824195
81893;1588;VIGILANTE PARCIAL;1;2022-10-07T17:33:06.4509704;2023-09-08T10:03:04.4862405;1;1;310570 ;2022-10-07T17:33:06.756294
